Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2018,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.34,
SURVEY,2018,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.27,
SURVEY,2018,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.32,
SURVEY,2018,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.736,
SURVEY,2018,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, SPECIALTY - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,4.06,
SURVEY,2018,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, SPECIALTY, OTHER - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,5.33,
SURVEY,2018,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, SPECIALTY, OYSTER - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,3.13,
SURVEY,2018,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, SPECIALTY, SHIITAKE - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,4.44,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,CENTRAL STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.83,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,CENTRAL STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.92,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,CENTRAL STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.14,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,EASTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.05,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,EASTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.1,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,EASTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.669,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,"EASTERN STATES, OTHER",0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.39,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,"EASTERN STATES, OTHER",0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.655,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,WESTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.98,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,WESTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.99,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,WESTERN STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.882,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,"WESTERN STATES, OTHER",0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.74,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,"WESTERN STATES, OTHER",0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.99,
SURVEY,2018,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,"WESTERN STATES, OTHER",0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.882,
SURVEY,2018,MARKETING YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,2.05,
SURVEY,2018,MARKETING YEAR,,STATE,OTHER STATES,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.61,
SURVEY,2018,MARKETING YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1,
SURVEY,2018,MARKETING YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.04,
SURVEY,2018,MARKETING YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.67,
SURVEY,2017,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.31,
SURVEY,2017,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.24,
SURVEY,2017,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, FRESH MARKET - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.31,
SURVEY,2017,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, AGARICUS, PROCESSING - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,0.659,
SURVEY,2017,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, SPECIALTY - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,3.86,
SURVEY,2017,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, SPECIALTY, OTHER - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,5.43,
SURVEY,2017,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, SPECIALTY, OYSTER - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,3.12,
SURVEY,2017,MARKETING YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,MUSHROOMS,"MUSHROOMS, SPECIALTY, SHIITAKE - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,3.91,
SURVEY,2017,MARKETING YEAR,,REGION : MULTI-STATE,,,,,,,,CENTRAL STATES,0,,MUSHROOMS,"MUSHROOMS, AGARICUS - PRICE RECEIVED, MEASURED IN $ / LB",TOTAL,NOT SPECIFIED,1.74,
